log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward,loss_jacobian_x,loss_jacobian_u
-4.9218058586120605,8.320999145507812,6.474132537841797,-6.474132537841797,-4.9218058586120605,8.320999145507812,6.474132537841797,-6.474132537841797,nan,nan,0,6,,,,,,,,,,,
-4.9218058586120605,7.55645751953125,6.357822418212891,-6.357822418212891,-4.9218058586120605,7.55645751953125,6.357822418212891,-6.357822418212891,,,1,13,40.34721374511719,0.006249784957617521,-13.249212265014648,8.340481758117676,40.34721374511719,0.006249785423278809,-13.249212265014648,8.340481758117676,,,
-4.9218058586120605,7.968902587890625,6.278149604797363,-6.278149604797363,-4.9218058586120605,7.968902587890625,6.278149604797363,-6.278149604797363,,,2,20,,,,,,,,,,,
-4.9218058586120605,8.37615966796875,6.200988292694092,-6.200988292694092,-4.9218058586120605,8.37615966796875,6.200988292694092,-6.200988292694092,,,3,27,,,,,,,,,,,
-4.9218058586120605,7.022247314453125,6.115716934204102,-6.115716934204102,-4.9218058586120605,7.022247314453125,6.115716934204102,-6.115716934204102,,,4,34,,,,,,,,,,,
-4.9218058586120605,7.2783660888671875,6.024483680725098,-6.024483680725098,-4.9218058586120605,7.2783660888671875,6.024483680725098,-6.024483680725098,nan,nan,5,41,,,,,,,,,,,
-4.9218058586120605,6.546706676483154,5.931608200073242,-5.931608200073242,-4.9218058586120605,6.5467071533203125,5.931608200073242,-5.931608200073242,,,6,48,,,,,,,,,,,
,,3.716582775115967,-3.716582775115967,,,,,,,7,49,,,,,,,,,7.138192653656006,,
-4.9218058586120605,8.067474365234375,5.842907905578613,-5.842907905578613,-4.9218058586120605,8.067474365234375,5.842907905578613,-5.842907905578613,,,7,55,,,,,,,,,,,
-4.9218058586120605,8.461456298828125,5.764870643615723,-5.764870643615723,-4.9218058586120605,8.461456298828125,5.764870643615723,-5.764870643615723,,,8,62,,,,,,,,,,,
