log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward
-5.001633644104004,3.123894691467285,6.879654407501221,-6.879654407501221,-5.001633644104004,3.123894691467285,6.879654407501221,-6.879654407501221,nan,nan,0,0,,,,,,,,,
-5.001633644104004,2.4468472003936768,6.84596061706543,-6.84596061706543,-5.001633644104004,2.4468472003936768,6.84596061706543,-6.84596061706543,,,1,1,4.503971576690674,0.009328007698059082,-10.746411323547363,6.544668674468994,4.503971576690674,0.009328007698059082,-10.746411323547363,6.544668674468994,
-5.001633644104004,2.5416030883789062,6.814728736877441,-6.814728736877441,-5.001633644104004,2.5416030883789062,6.814728736877441,-6.814728736877441,,,2,2,,,,,,,,,
-5.001633644104004,2.592802047729492,6.785791873931885,-6.785791873931885,-5.001633644104004,2.592802047729492,6.785791873931885,-6.785791873931885,,,3,3,,,,,,,,,
-5.001633644104004,2.596622943878174,6.758979797363281,-6.758979797363281,-5.001633644104004,2.596622943878174,6.758979797363281,-6.758979797363281,,,4,4,,,,,,,,,
-5.001633644104004,3.3852381706237793,6.734126091003418,-6.734126091003418,-5.001633644104004,3.3852381706237793,6.734126091003418,-6.734126091003418,nan,nan,5,5,,,,,,,,,
-5.001633644104004,3.1330647468566895,6.711047172546387,-6.711047172546387,-5.001633644104004,3.1330647468566895,6.711047172546387,-6.711047172546387,,,6,6,,,,,,,,,
-5.001633644104004,2.814409017562866,6.689549922943115,-6.689549922943115,-5.001633644104004,2.814409017562866,6.689549922943115,-6.689549922943115,,,7,7,,,,,,,,,
-5.001633644104004,3.2874255180358887,6.669443130493164,-6.669443130493164,-5.001633644104004,3.2874255180358887,6.669443130493164,-6.669443130493164,,,8,8,,,,,,,,,
-5.001633644104004,3.1682162284851074,6.650527477264404,-6.650527477264404,-5.001633644104004,3.1682162284851074,6.650527477264404,-6.650527477264404,,,9,9,,,,,,,,,
-5.001633644104004,3.396700620651245,6.632597923278809,-6.632597923278809,-5.001633644104004,3.396700620651245,6.632597923278809,-6.632597923278809,nan,nan,10,10,,,,,,,,,
-5.001633644104004,3.1842634677886963,6.615450382232666,-6.615450382232666,-5.001633644104004,3.1842634677886963,6.615450382232666,-6.615450382232666,,,11,11,6.216458797454834,0.010159611701965332,-11.536775588989258,7.000960350036621,6.216458797454834,0.010159611701965332,-11.536775588989258,7.000960350036621,
-5.001633644104004,3.006213665008545,6.598889350891113,-6.598889350891113,-5.001633644104004,3.006213665008545,6.598889350891113,-6.598889350891113,,,12,12,,,,,,,,,
-5.001633644104004,3.125422954559326,6.582738399505615,-6.582738399505615,-5.001633644104004,3.125422954559326,6.582738399505615,-6.582738399505615,,,13,13,,,,,,,,,
-5.001633644104004,3.1330647468566895,6.566834449768066,-6.566834449768066,-5.001633644104004,3.1330647468566895,6.566834449768066,-6.566834449768066,,,14,14,,,,,,,,,
-5.001633644104004,3.160574436187744,6.551021099090576,-6.551021099090576,-5.001633644104004,3.160574436187744,6.551021099090576,-6.551021099090576,nan,nan,15,15,,,,,,,,,
-5.001633644104004,3.1475837230682373,6.535165786743164,-6.535165786743164,-5.001633644104004,3.1475837230682373,6.535165786743164,-6.535165786743164,,,16,16,,,,,,,,,
-5.001633644104004,2.9634206295013428,6.519149303436279,-6.519149303436279,-5.001633644104004,2.9634206295013428,6.519149303436279,-6.519149303436279,,,17,17,,,,,,,,,
-5.001633644104004,3.197254180908203,6.502874851226807,-6.502874851226807,-5.001633644104004,3.197254180908203,6.502874851226807,-6.502874851226807,,,18,18,,,,,,,,,
-5.001633644104004,3.382181406021118,6.486261367797852,-6.486261367797852,-5.001633644104004,3.382181406021118,6.486261367797852,-6.486261367797852,,,19,19,,,,,,,,,
-5.001633644104004,3.2576231956481934,6.469237327575684,-6.469237327575684,-5.001633644104004,3.2576231956481934,6.469237327575684,-6.469237327575684,nan,nan,20,20,,,,,,,,,
-5.001633644104004,3.066582441329956,6.451752662658691,-6.451752662658691,-5.001633644104004,3.066582441329956,6.451752662658691,-6.451752662658691,,,21,21,6.065154552459717,0.007516384124755859,-10.978673934936523,6.243780612945557,6.065154552459717,0.007516384124755859,-10.978673934936523,6.243780612945557,
-5.001633644104004,2.66616153717041,6.4337639808654785,-6.4337639808654785,-5.001633644104004,2.66616153717041,6.4337639808654785,-6.4337639808654785,,,22,22,,,,,,,,,
-5.001633644104004,3.05588436126709,6.415240287780762,-6.415240287780762,-5.001633644104004,3.05588436126709,6.415240287780762,-6.415240287780762,,,23,23,,,,,,,,,
-5.001633644104004,3.264500617980957,6.396159648895264,-6.396159648895264,-5.001633644104004,3.264500617980957,6.396159648895264,-6.396159648895264,,,24,24,,,,,,,,,
-5.001633644104004,2.9779398441314697,6.376509189605713,-6.376509189605713,-5.001633644104004,2.9779398441314697,6.376509189605713,-6.376509189605713,nan,nan,25,25,,,,,,,,,
-5.001633644104004,3.2652647495269775,6.3562822341918945,-6.3562822341918945,-5.001633644104004,3.2652647495269775,6.3562822341918945,-6.3562822341918945,,,26,26,,,,,,,,,
-5.001633644104004,3.104790687561035,6.335478782653809,-6.335478782653809,-5.001633644104004,3.104790687561035,6.335478782653809,-6.335478782653809,,,27,27,,,,,,,,,
-5.001633644104004,3.2346982955932617,6.314108848571777,-6.314108848571777,-5.001633644104004,3.2346982955932617,6.314108848571777,-6.314108848571777,,,28,28,,,,,,,,,
-5.001633644104004,3.3974647521972656,6.2921833992004395,-6.2921833992004395,-5.001633644104004,3.3974647521972656,6.2921833992004395,-6.2921833992004395,,,29,29,,,,,,,,,
-5.001633644104004,3.1888484954833984,6.269728183746338,-6.269728183746338,-5.001633644104004,3.1888484954833984,6.269728183746338,-6.269728183746338,nan,nan,30,30,,,,,,,,,
-5.001633644104004,2.6562275886535645,6.246771812438965,-6.246771812438965,-5.001633644104004,2.6562275886535645,6.246771812438965,-6.246771812438965,,,31,31,4.860835075378418,0.005798697471618652,-10.653474807739258,5.676255226135254,4.860835075378418,0.005798697471618652,-10.653474807739258,5.676255226135254,
-5.001633644104004,3.345501661300659,6.223352909088135,-6.223352909088135,-5.001633644104004,3.345501661300659,6.223352909088135,-6.223352909088135,,,32,32,,,,,,,,,
-5.001633644104004,3.0719316005706787,6.199517726898193,-6.199517726898193,-5.001633644104004,3.0719316005706787,6.199517726898193,-6.199517726898193,,,33,33,,,,,,,,,
-5.001633644104004,3.272142171859741,6.175322532653809,-6.175322532653809,-5.001633644104004,3.272142171859741,6.175322532653809,-6.175322532653809,,,34,34,,,,,,,,,
-5.001633644104004,3.365370035171509,6.15083122253418,-6.15083122253418,-5.001633644104004,3.365370035171509,6.15083122253418,-6.15083122253418,nan,nan,35,35,,,,,,,,,
-5.001633644104004,3.202603340148926,6.126115322113037,-6.126115322113037,-5.001633644104004,3.202603340148926,6.126115322113037,-6.126115322113037,,,36,36,,,,,,,,,
-5.001633644104004,3.1070830821990967,6.101254940032959,-6.101254940032959,-5.001633644104004,3.1070830821990967,6.101254940032959,-6.101254940032959,,,37,37,,,,,,,,,
-5.001633644104004,3.1812069416046143,6.07633638381958,-6.07633638381958,-5.001633644104004,3.1812069416046143,6.07633638381958,-6.07633638381958,,,38,38,,,,,,,,,
-5.001633644104004,2.784606695175171,6.05145263671875,-6.05145263671875,-5.001633644104004,2.784606695175171,6.05145263671875,-6.05145263671875,,,39,39,,,,,,,,,
-5.001633644104004,3.452484607696533,6.026699066162109,-6.026699066162109,-5.001633644104004,3.452484369277954,6.026699066162109,-6.026699066162109,nan,nan,40,40,,,,,,,,,
-5.001633644104004,3.0100345611572266,6.002173900604248,-6.002173900604248,-5.001633644104004,3.0100345611572266,6.002173900604248,-6.002173900604248,,,41,41,5.896275043487549,0.006193280220031738,-9.344292640686035,4.279644012451172,5.896275043487549,0.006193280220031738,-9.344292640686035,4.279644012451172,
-5.001633644104004,3.2782554626464844,5.977972984313965,-5.977972984313965,-5.001633644104004,3.2782554626464844,5.977972984313965,-5.977972984313965,,,42,42,,,,,,,,,
-5.001633644104004,3.6030242443084717,5.954185485839844,-5.954185485839844,-5.001633644104004,3.6030242443084717,5.954185485839844,-5.954185485839844,,,43,43,,,,,,,,,
-5.001633644104004,3.3004162311553955,5.9308953285217285,-5.9308953285217285,-5.001633644104004,3.3004162311553955,5.9308953285217285,-5.9308953285217285,,,44,44,,,,,,,,,
-5.001633644104004,3.1651594638824463,5.908168792724609,-5.908168792724609,-5.001633644104004,3.1651594638824463,5.908168792724609,-5.908168792724609,nan,nan,45,45,,,,,,,,,
-5.001633644104004,3.1903767585754395,5.886057376861572,-5.886057376861572,-5.001633644104004,3.1903767585754395,5.886057376861572,-5.886057376861572,,,46,46,,,,,,,,,
-5.001633644104004,3.320284366607666,5.864592552185059,-5.864592552185059,-5.001633644104004,3.320284366607666,5.864592552185059,-5.864592552185059,,,47,47,,,,,,,,,
-5.001633644104004,3.1185455322265625,5.843782424926758,-5.843782424926758,-5.001633644104004,3.1185455322265625,5.843782424926758,-5.843782424926758,,,48,48,,,,,,,,,
,,3.5449299812316895,-3.5449299812316895,,,,,,,49,49,,,,,,,,,2.607250213623047
-5.001633644104004,2.854909658432007,5.823607444763184,-5.823607444763184,-5.001633644104004,2.854909658432007,5.823607444763184,-5.823607444763184,,,49,49,,,,,,,,,
-5.001633644104004,3.421154022216797,5.8040289878845215,-5.8040289878845215,-5.001633644104004,3.4211537837982178,5.8040289878845215,-5.8040289878845215,nan,nan,50,50,,,,,,,,,
-5.001633644104004,3.3661341667175293,5.784987449645996,-5.784987449645996,-5.001633644104004,3.3661341667175293,5.784987449645996,-5.784987449645996,,,51,51,5.900095462799072,0.004946112632751465,-8.565192222595215,3.3756165504455566,5.900095462799072,0.004946112632751465,-8.565192222595215,3.3756165504455566,
-5.001633644104004,3.519730806350708,5.766409873962402,-5.766409873962402,-5.001633644104004,3.519730806350708,5.766409873962402,-5.766409873962402,,,52,52,,,,,,,,,
-5.001633644104004,3.207188367843628,5.7482194900512695,-5.7482194900512695,-5.001633644104004,3.207188367843628,5.7482194900512695,-5.7482194900512695,,,53,53,,,,,,,,,
-5.001633644104004,3.1621029376983643,5.730342864990234,-5.730342864990234,-5.001633644104004,3.1621029376983643,5.730342864990234,-5.730342864990234,,,54,54,,,,,,,,,
-5.001633644104004,3.310350179672241,5.712719440460205,-5.712719440460205,-5.001633644104004,3.310350179672241,5.712719440460205,-5.712719440460205,nan,nan,55,55,,,,,,,,,
-5.001633644104004,3.365370035171509,5.695310115814209,-5.695310115814209,-5.001633644104004,3.365370035171509,5.695310115814209,-5.695310115814209,,,56,56,,,,,,,,,
-5.001633644104004,3.0406010150909424,5.678100109100342,-5.678100109100342,-5.001633644104004,3.0406010150909424,5.678100109100342,-5.678100109100342,,,57,57,,,,,,,,,
-5.001633644104004,3.3080577850341797,5.661101818084717,-5.661101818084717,-5.001633644104004,3.3080577850341797,5.661101818084717,-5.661101818084717,,,58,58,,,,,,,,,
-5.001633644104004,3.360020875930786,5.64435338973999,-5.64435338973999,-5.001633644104004,3.360020875930786,5.64435338973999,-5.64435338973999,,,59,59,,,,,,,,,
-5.001633644104004,3.618307590484619,5.627915382385254,-5.627915382385254,-5.001633644104004,3.618307590484619,5.627915382385254,-5.627915382385254,nan,nan,60,60,,,,,,,,,
-5.001633644104004,3.1040265560150146,5.61186408996582,-5.61186408996582,-5.001633644104004,3.1040265560150146,5.61186408996582,-5.61186408996582,,,61,61,6.189713001251221,0.005053877830505371,-7.430504322052002,2.2796144485473633,6.189713001251221,0.005053877830505371,-7.430504322052002,2.2796144485473633,
-5.001633644104004,3.468531608581543,5.596282482147217,-5.596282482147217,-5.001633644104004,3.468531847000122,5.596282482147217,-5.596282482147217,,,62,62,,,,,,,,,
-5.001633644104004,2.800654172897339,5.581249713897705,-5.581249713897705,-5.001633644104004,2.800654172897339,5.581249713897705,-5.581249713897705,,,63,63,,,,,,,,,
-5.001633644104004,2.7662668228149414,5.566832065582275,-5.566832065582275,-5.001633644104004,2.7662668228149414,5.566832065582275,-5.566832065582275,,,64,64,,,,,,,,,
-5.001633644104004,3.5350139141082764,5.5530686378479,-5.5530686378479,-5.001633644104004,3.5350139141082764,5.5530686378479,-5.5530686378479,nan,nan,65,65,,,,,,,,,
-5.001633644104004,3.2010750770568848,5.539967060089111,-5.539967060089111,-5.001633644104004,3.2010750770568848,5.539967060089111,-5.539967060089111,,,66,66,,,,,,,,,
-5.001633644104004,3.3088219165802,5.527493476867676,-5.527493476867676,-5.001633644104004,3.3088219165802,5.527493476867676,-5.527493476867676,,,67,67,,,,,,,,,
-5.001633644104004,3.323341131210327,5.515575408935547,-5.515575408935547,-5.001633644104004,3.323341131210327,5.515575408935547,-5.515575408935547,,,68,68,,,,,,,,,
-5.001633644104004,3.264500617980957,5.504104137420654,-5.504104137420654,-5.001633644104004,3.264500617980957,5.504104137420654,-5.504104137420654,,,69,69,,,,,,,,,
-5.001633644104004,3.356964111328125,5.492949485778809,-5.492949485778809,-5.001633644104004,3.356964111328125,5.492949485778809,-5.492949485778809,nan,nan,70,70,,,,,,,,,
-5.001633644104004,2.985581398010254,5.481978893280029,-5.481978893280029,-5.001633644104004,2.985581398010254,5.481978893280029,-5.481978893280029,,,71,71,6.36317777633667,0.007764101028442383,-6.459621906280518,1.5249375104904175,6.36317777633667,0.007764101028442383,-6.459621906280518,1.5249375104904175,
-5.001633644104004,3.2545664310455322,5.471081733703613,-5.471081733703613,-5.001633644104004,3.2545664310455322,5.471081733703613,-5.471081733703613,,,72,72,,,,,,,,,
-5.001633644104004,3.119309663772583,5.460188388824463,-5.460188388824463,-5.001633644104004,3.119309663772583,5.460188388824463,-5.460188388824463,,,73,73,,,,,,,,,
-5.001633644104004,3.11472487449646,5.44927978515625,-5.44927978515625,-5.001633644104004,3.11472487449646,5.44927978515625,-5.44927978515625,,,74,74,,,,,,,,,
-5.001633644104004,3.282076358795166,5.438390254974365,-5.438390254974365,-5.001633644104004,3.282076358795166,5.438390254974365,-5.438390254974365,nan,nan,75,75,,,,,,,,,
-5.001633644104004,3.136885404586792,5.427587509155273,-5.427587509155273,-5.001633644104004,3.136885404586792,5.427587509155273,-5.427587509155273,,,76,76,,,,,,,,,
-5.001633644104004,3.2538022994995117,5.416952133178711,-5.416952133178711,-5.001633644104004,3.2538022994995117,5.416952133178711,-5.416952133178711,,,77,77,,,,,,,,,
-5.001633644104004,3.148347854614258,5.406559944152832,-5.406559944152832,-5.001633644104004,3.148347854614258,5.406559944152832,-5.406559944152832,,,78,78,,,,,,,,,
